Gene,logFC,pVal,pAdj,sdSF,sdGC
GM16001,0.313700473,0.599399994,0.83316812,8.775674,4.107406
ZFP335OS,-0.882995423,0.277408249,0.600565318,11.23647,16.06541
OIP5OS1,0.050091655,0.80089911,0.926156327,243.3856,241.7646
GM3362,0.429295812,0.815690284,0.932899002,17.275589,8.557691
1110046J04RIK,-1.847321364,0.039943057,0.21749055,5.996616,9.932126
TRMT61B,-0.231594751,0.50479874,0.779844325,20.17883,14.82055
GM14023,-2.153744193,0.072485183,0.304565166,2.211028,7.927309
SLC36A3OS,-0.266089667,0.815625548,0.932899002,11.214235,9.445904
3110056K07RIK,0.314814731,0.138697694,0.431127614,36.70375,32.96369
HOXAAS3|LOC115490409,-0.902380486,0.293404623,0.616705085,11.75685,18.84044
4921531C22RIK,0.747821137,0.110889966,0.385480505,43.08393,18.42607
5430405H02RIK,0.218129118,0.382171086,0.695328046,72.8693,39.34182
SLC13A2OS,-0.295655769,0.812501991,0.93128431,9.142567,5.509082
4930455G09RIK,-1.152379279,0.37633073,0.691704591,3.560725,10.084797
5430402O13RIK,-1.489884196,0.211867131,0.530037134,6.15295,8.587343
LIN52,0.230125636,0.373069051,0.689138996,28.96722,18.29814
ZFP703,0.313733466,0.237676757,0.558740326,53.64323,42.80426
GM14718,0.368409385,0.599820852,0.833309235,22.54389,14.36076
KCNMB4OS2,-2.12951696,0.098855296,0.362075894,6.839332,10.652946
ARHGAP27OS3,-0.367939585,0.532845649,0.796977868,15.03474,10.95784
A930041C12RIK,-0.099194363,0.921208057,0.971335077,4.614856,3.785172
CD63-PS,0.763583487,0.178810382,0.487193176,4.874467,4.147442
1700001G11RIK,0.912679914,0.320495271,0.643827876,27.292728,9.703642
GM2788,-2.349861534,0.057929005,0.268978183,2.824401,7.503358
B230206L02RIK,0.023309879,0.984703708,0.995660376,8.868768,15.060947
GM15706,0.468328829,0.580617616,0.822690498,7.130741,6.617376
4833417C18RIK,-0.163882723,0.866667729,0.951158978,6.068645,3.541242
WIPF3,-1.168958093,0.132948211,0.422202884,8.677825,9.212359
PIERCE2,-0.215098259,0.645514294,0.855784699,40.54028,24.84379
MKLN1OS,0.77938408,0.465441412,0.754630328,9.668788,5.244614
A330040F15RIK,-0.806195761,0.548454027,0.806531858,7.903674,7.890202
5830418P13RIK,-0.069983036,0.873482789,0.954236675,26.30735,28.59691
GM15787,-0.102154408,0.90842784,0.966361743,9.454032,6.11245
SNHG12,-0.089852181,0.775766751,0.916743072,16.37919,20.12549
G630016G05RIK,1.052682909,0.467712003,0.756542752,7.705819,4.831665
NBDY,0.153020695,0.609167347,0.838482035,67.7798,60.73695
FTX,-0.46673265,0.356533079,0.674753828,39.82636,40.544
1700026D11RIK,-0.906756467,0.32455889,0.647374802,10.351027,6.383966
CHRNA1OS,2.003266809,0.036360744,0.205820741,21.80962,12.94089
GT(ROSA)26SOR,0.534399981,0.005904859,0.063366951,120.86535,70.08833
ETAA1OS,-1.866690323,0.046977775,0.236962312,3.817709,9.105231
NRON,-0.167270081,0.722956387,0.894603737,34.95975,28.90864
GM15500,-0.480463676,7.35091E-05,0.002407809,547.3799,590.8642
GM11837,1.424922084,0.258866917,0.581920935,8.316473,4.892103
2810403D21RIK,-0.358527846,0.267952932,0.59155937,18.04968,21.90255
STAMOS,0.624148349,0.338780304,0.660086713,15.509794,7.267379
GM15551,0.755638728,0.526838003,0.793831451,13.67404,14.59402
GM16023,0.793276324,0.254290677,0.576517394,29.27086,14.62084
0610009E02RIK,-0.092517867,0.802307257,0.926730473,32.56427,13.56133
MAN2C1OS,-0.553416994,0.501404397,0.778272409,18.45887,22.54131
GM16201,1.870246069,0.121281461,0.40401689,26.368675,5.319696
PLXNA4OS1,0.442935147,0.758549544,0.908856822,15.3498,11.1865
E130102H24RIK,1.325450829,0.039284141,0.215641173,11.925433,5.844807
ISOC2A,-0.396159301,0.662958771,0.865825869,5.97379,5.977435
2410006H16RIK,-0.200250567,0.278540002,0.601256003,239.2964,455.0736
SNHG20,0.804124431,0.011891208,0.10059614,138.08553,35.93995
GM13546,-0.423681753,0.752909749,0.906996008,8.738659,10.239967
GM15543,0.613321476,0.600041726,0.833394243,25.05979,9.19499
GM15708,-0.252629698,0.639285204,0.853816296,16.65374,12.78875
4930429F24RIK,-3.313362868,0.01288323,0.105667291,2.742116,9.436126
GM6286,-0.314593702,0.729665472,0.897719024,6.415056,5.735916
4930481A15RIK,-0.016807965,0.968256122,0.99039971,21.192,34.79782
GM13889,-0.881699948,0.310496144,0.634186771,10.48847,10.01616
2900079G21RIK,-0.97834961,0.078196613,0.317403741,20.82588,24.17814
GM16638,1.281532795,0.093116742,0.349707084,58.92252,24.03219
AI662270,-0.692296649,1.29786E-06,7.58229E-05,70.84295,51.73966
GM15545,0.469812477,0.573006203,0.818836873,6.741401,2.598281
PLCXD2,0.046535061,0.847014266,0.943826231,99.2207,84.01412
A830082K12RIK,2.404870774,0.011624128,0.099182,14.93524,2.75877
2010001A14RIK,-0.530322063,0.365283846,0.682243729,6.021184,14.089981
5530601H04RIK,0.280057023,0.444257908,0.740416441,59.19532,23.99017
GM15133,0.882618245,0.439705428,0.73891466,17.0364,7.077936
E130307A14RIK,-0.22423697,0.418116998,0.721929625,31.29656,27.55712
GM13986,-4.054446233,0.171205168,0.478158992,0.5333184,22.9600723
2810408I11RIK,-1.280812997,0.136515074,0.427401261,9.914414,10.141298
E230016M11RIK,0.096519398,0.941267846,0.981187128,14.20498,10.92243
GM16062,0.203045119,0.778728629,0.917513415,14.86298,11.09293
2610035D17RIK,0.403604064,0.236225206,0.557461914,59.13959,26.80021
LAMTOR5,-0.518593721,0.009705849,0.088248826,137.484,123.5083
GM13580,0.724658213,0.561673774,0.813119589,9.631634,5.918377
4933424M12RIK,-2.969137165,0.01774962,0.130472204,3.927085,7.179808
A430035B10RIK,0.366574674,0.04144899,0.221060797,174.79328,96.52457
1810021B22RIK,3.761707222,0.00265128,0.035662447,26.7523,2.91124
4930404I05RIK,-0.863506447,0.42837933,0.730351388,2.20181,15.62836
BC065397,0.584208055,0.50713408,0.781361769,9.26358,3.168317
TMEM170B,-0.401743611,0.31805127,0.641221831,18.9595,44.53676
2210408F21RIK,0.895181528,0.119092862,0.39953652,45.13229,46.11538
CTCFLOS,1.008513041,0.145256165,0.441835595,58.02979,32.89793
FRG2F1,0.372099312,0.772543182,0.915171727,20.525657,8.353754
4933407K13RIK,-0.566701329,0.231063501,0.551740313,18.8567,19.29341
KANTR,-0.790614737,0.00991009,0.089585611,20.89574,40.28994
E130215H24RIK,0.099934576,0.901115419,0.964181599,12.642621,9.757163
GM15501,-0.410752503,0.0242572,0.159399724,182.8445,233.7627
5730405O15RIK,0.414301795,0.686903901,0.877445231,12.932648,6.241395
GM11998,0.340600237,0.320225926,0.643757426,23.78824,28.06803
4933406I18RIK,0.197119024,0.70038305,0.884557828,15.04547,13.66497
2810001G20RIK,0.70155454,0.001208712,0.020054601,49.53891,36.08993
AV039307,0.022373287,0.968981129,0.990768794,22.23533,13.34438
AI646519,1.412536885,4.49445E-05,0.001595682,31.50454,11.49039
GM16576,0.323218752,0.757725164,0.908583599,9.490678,3.693623
EPB41L4AOS,0.075172569,0.829392907,0.937293542,29.29838,21.16232
ZFP111,0.519314048,0.523862737,0.792233677,9.501122,5.653633
GM15050,0.718373186,0.314003854,0.637246706,17.16943,16.91944
LOC118568483,-0.924693296,0.267734897,0.591328154,3.911828,10.071914
IGHE,1.843793103,0.195624547,0.509911448,15.568141,3.776968
1500009L16RIK,-1.199868635,0.010500592,0.093200451,37.81301,49.0072
HOTAIRM1|HOTAIRM2,0.433248756,0.232157792,0.553150766,41.04066,16.54189
TRAV13-5,-1.934475582,0.092543226,0.348472654,4.483892,5.556225
TMEM250-PS,-0.033928747,0.89628038,0.963016282,176.6627,145.1549
PET100,0.127445612,0.480630926,0.765280923,116.5261,227.5836
GM25395,0.746345968,0.426020666,0.729382784,5.067118,5.146061
SNORD13|LOC115490494,1.827402251,0.007968422,0.077203948,3.676061,1.758617
LOC115489054,-0.067278452,0.91191352,0.967867504,2.493518,3.778851
MIR1931,0.90853755,0.031048356,0.185969438,9.000004,5.09546
GM23119,0.801095875,0.177852315,0.485974467,4.337838,2.914182
GM22009,0.868305977,0.115352086,0.39358619,9.384456,6.69547
GM2245,0.968794087,0.355738434,0.674117665,29.584944,6.782575
MIA,-1.320841085,0.426516308,0.729506625,7.986179,9.119379
FCOR,0.187011964,0.785040475,0.920592763,57.04229,122.2436
TNFSF13,0.92684351,0.458716781,0.75075078,16.106818,9.543146
UGT1A8,1.139561712,0.38846068,0.699531793,44.64841,15.52105
GM16299,1.601743919,0.059523014,0.27305741,14.114552,7.664902
BCL2L2,-0.047290788,0.941049163,0.981081906,19.08268,22.37285
RAB42,-0.700625811,0.238878751,0.560150457,30.09787,33.02167
GALNT2,-0.151078645,0.451115278,0.744870839,132.26303,77.79737
B230216N24RIK,0.029610331,0.968056051,0.99039971,9.84092,11.41595
CBX6,0.035037685,0.876186131,0.955424292,68.09445,70.22798
ZFP966,1.112497246,0.096955221,0.357772307,36.74288,12.76978
IER5L,0.807034889,0.165664357,0.470475257,25.62551,7.51169
GM16580,0.3073345,0.595996521,0.831315592,17.085137,8.928227
TMSB15B1,-0.815833055,0.117672956,0.397412743,15.54652,12.8865
SKINT1,-0.934268886,0.436045754,0.736241602,7.332534,5.54163
SLC5A3,0.936467568,0.000394673,0.008666751,71.90201,32.0105
1700028K03RIK,-0.076436341,0.953908765,0.985975121,8.101666,7.925624
GM16136,1.302656356,0.171279343,0.47828084,18.542164,5.336847
A930011G23RIK|RASGEF1B,0.800510329,0.109707704,0.383670654,16.91885,15.65663
RBM12,0.343451205,0.217144963,0.535323365,91.79815,48.48485
SHKBP1,-0.530118514,0.138961112,0.431856931,42.05623,20.68277
A530032D15RIK,-1.204376574,0.326358659,0.648863178,6.221876,15.833975
TIMM10B,-0.079690861,0.723825162,0.89511419,191.4712,168.1267
ZFP882,0.11728727,0.811392041,0.930898013,30.55668,30.54666
UMAD1,-0.37245029,0.236863087,0.557943429,46.96368,50.71314
RPS6KC1,-0.194689641,0.743852349,0.902392862,12.34289,17.04499
TMEM102,0.854414715,0.292001201,0.615573288,16.53913,10.31528
0610040B10RIK,-0.997264289,0.254591105,0.576947884,10.34505,12.83244
MFSD14A,0.335386104,0.154495584,0.454256458,50.07888,76.47102
UCKL1,0.198421555,0.525676847,0.793229387,41.66728,43.42843
BCL2A1B,0.127044877,0.670224216,0.869077104,44.06555,30.8202
PIRA2,1.287015876,0.194176066,0.508227125,15.623089,6.211599
PAKAP,-0.252767783,0.832769067,0.938455834,32.7265,26.09153
ZFP968-PS,-0.104661165,0.851487042,0.945095518,24.71392,31.27163
TMSB15B2,-1.077163737,0.013185514,0.107411857,19.75334,25.37671
PHTF1OS,0.332299513,0.619691877,0.843199103,15.85437,11.15121
IER3IP1,-0.134655868,0.243894205,0.565893831,148.6083,148.2233
GM15446,0.104020637,0.796340436,0.924882511,56.86857,29.36531
GIMAP1,0.372704292,0.033711902,0.196364301,120.8746,103.5508
GALNT4,0.347633649,0.375203668,0.690718851,29.21932,13.26405
PAKAP,3.63811317,0.213118543,0.530745512,38.843882,1.978843
OLFR1062,2.211360568,0.001505581,0.023525831,20.786183,1.687024
GM1604A,-0.769833264,0.172679457,0.479733097,5.878849,4.958513
LIME1,0.121212032,0.741609449,0.902265159,91.0011,28.18165
RNF8,0.161475908,0.63223597,0.850096198,68.36846,43.79981
SRPX,1.097924738,0.17102004,0.477812413,7.279965,6.66553
GM14399,0.360198001,0.579862568,0.822513882,13.45296,13.24639
ALMS1-PS2,-0.520835795,0.566746958,0.815615395,9.896373,11.280976
TTBK2,-0.065273245,0.854672231,0.946100812,86.84,67.82003
SNHG9,0.289391292,0.690161466,0.880099207,4.123936,2.109918
CMC4,-0.109327419,0.694231732,0.881115864,28.97682,18.54305
SHPRH,0.557391037,0.005527909,0.060763494,35.64797,55.90288
USP49,-0.926338224,0.196764967,0.51145165,10.29238,20.58614
GM10177,-0.092148718,0.543045198,0.803028182,356.9585,587.1807
UBA52,-0.520046141,0.000996565,0.017433756,1106.947,1528.23
ACAD11,0.535548424,0.134184753,0.42356088,46.86895,34.58842
FAM78A,0.295990576,0.249230227,0.572036845,28.83501,20.71626
BC035044,1.100696347,0.000964466,0.016986098,61.051,18.71733
FBXW10,0.791118556,0.153917213,0.453043389,29.171368,9.495801
UGT1A9,1.467242183,0.409389833,0.715169559,20.02789,21.73498
TEPP,-1.2953579,0.233628387,0.554848791,3.522245,7.077798
ITGA10,0.511392278,0.695426024,0.881856747,26.13171,16.33045
PEDS1,-0.077739279,0.757359401,0.908522639,63.86269,31.31016
CFB,0.533522672,0.37635763,0.691704591,28.45478,20.63702
CAR15,0.242439496,0.823401671,0.935051723,13.24509,10.51666
BLOC1S1,0.090845107,0.618910997,0.843016972,165.0759,138.0564
CHURC1,-0.27551302,0.102961621,0.370341924,115.3815,195.819
EIF4EBP3,-0.589553134,0.152929133,0.452031608,31.34564,28.38157
METTL23,0.0963867,0.553924231,0.809784471,106.0218,74.52851
MNDAL,0.73874338,8.05372E-05,0.002599942,143.66121,52.14468
TARBP1,0.524385782,0.113036085,0.389396256,16.5366,10.36978
9130221H12RIK,-0.801738256,0.155546972,0.455451657,22.12208,16.5608
MIR99AHG,-0.014725559,0.980747358,0.994337978,41.52403,24.25147
4930523C07RIK,-0.239204725,0.056685894,0.265435655,98.60002,78.95269
RPS11-PS1,0.4955788,0.277235156,0.600286384,38.46207,25.59509
GYPC,-0.193764315,0.598492572,0.832917896,20.95432,18.1696
SNRPE,-0.562447939,7.08523E-05,0.002335442,244.7341,260.0356
A930033H14RIK,0.229481716,0.835642223,0.93981912,8.073313,4.659323
TEX9,0.074249697,0.86759763,0.951334816,60.41728,27.30035
GM6189,0.537823484,0.565539334,0.81504844,17.805662,8.077546
ZFP712,0.876597939,0.200786365,0.517057913,12.936111,5.979118
ZFP493,-2.016172774,0.093028853,0.349460832,3.445796,13.563371
APOLD1,-1.452580155,0.00110805,0.018919018,9.5422,14.96506
RPS27,-0.080704715,0.6446382,0.855485671,1510.619,2869.526
SAMD15,-0.235016781,0.783399909,0.919536125,6.531975,9.183156
MYL6,-0.064167087,0.64160106,0.854613534,299.1516,271.0588
RPS13,-0.561834098,0.000357509,0.008053978,172.1798,483.5462
HSPA1B,1.190578253,0.00699716,0.070817414,24.74418,14.91777
PABPC4L,1.349290703,0.195645782,0.509911448,8.604881,1.936702
SYNJ2BP,-0.080998446,0.621969586,0.844679973,165.97564,74.76322
F830016B08RIK,0.418397548,0.679106931,0.87534183,13.870345,9.007299
CCDC71L,0.49691705,0.023205448,0.155135652,47.55309,26.77173
RPL6L,-0.312515198,0.800372366,0.926113657,6.298451,6.274942
CCDC152,1.41357564,0.008797434,0.082542116,305.37979,88.56113
PHF11C,-0.085710538,0.904420266,0.964766787,20.87833,11.88703
GM5141,0.458474343,0.481967074,0.765809976,15.45271,14.99952
VGLL3,-0.38664671,0.632671859,0.850290391,10.75172,10.90778
SMIM13,-0.414350357,0.149906198,0.447876719,85.20179,31.51477
EID1,0.161822029,0.317372534,0.640595818,126.36859,50.23696
H4C14,-1.532150445,0.000286367,0.00683482,10.00419,17.70047
GM10269,-0.273878629,0.575485622,0.819870645,5.655357,4.779654
VMN2R97,1.385383379,0.162519496,0.466565454,8.565864,2.621794
LAMTOR3,0.330871423,0.06343882,0.282902954,62.27079,39.50274
GM17484,0.897892476,0.259923385,0.582873165,11.517618,8.698109
TMA7|TMA7-PS,-0.08066165,0.543081744,0.803028182,378.6164,384.8849
2010016I18RIK,0.304338032,0.61481033,0.841192766,14.1593,10.18394
CYP4F17,1.71065074,0.066918622,0.291136634,30.512679,7.619486
LSM5,-1.265438077,1.74716E-09,1.9401E-07,34.5722,53.86815
PHF11B,0.998052639,0.084917555,0.332554818,17.493401,8.894451
VMN2R96,1.531933012,0.208448918,0.527080864,6.954087,2.473573
APOL11B,0.767812179,0.445670454,0.741404469,8.519121,6.10837
H2-Q2,-0.1443143,0.360996105,0.67836246,54.41323,100.01254
YY2,-0.542616538,0.705669023,0.886943878,16.00539,16.92956
GM3636,1.709650412,0.210486719,0.528478281,8.386842,2.161241
SCO2,0.342473395,0.373470712,0.689555535,37.34886,34.49308
COX16,0.344341641,0.044860632,0.231047013,105.18018,69.12609
INAFM1,0.434948267,0.477310524,0.762545124,22.13364,17.04864
GM8251,1.233874073,0.000385176,0.008505931,94.21485,30.28988
RPL36-PS12,1.697536542,0.034069964,0.197714392,7.542814,2.332587
UBE2D2A,0.115378874,0.359386314,0.677125333,146.5647,103.4904
TNNC1,1.562532533,0.05724501,0.266830936,81.36844,83.74772
GON7,-0.155791115,0.64529682,0.855641286,74.38695,42.54505
RPS2-PS10,-0.27454752,0.09517699,0.354455509,103.2909,83.4871
HSPA1A,0.948381339,0.131844192,0.420540568,22.05391,10.41548
E130317F20RIK,-1.203390716,0.106230711,0.377155158,14.16549,22.72262
BC049352,-1.433475534,0.167547657,0.47303442,14.07854,41.92145
GBP11,-0.759881077,0.494821471,0.774943477,4.554363,7.077812
BEND4,0.495457309,0.586054959,0.826045144,9.0761,6.77103
GM4540,0.251838422,0.314975015,0.638307509,11.67784,10.45848
DYNLT1A,-0.620874819,0.058172638,0.269789394,35.72644,43.36247
FANCF,-0.625477932,0.503953827,0.779544849,5.770102,4.52004
4930515G01RIK,0.749438789,0.556831374,0.811263189,11.942955,3.370886
DNAAF4,-0.621703923,0.543485436,0.803069656,6.903466,12.572926
1110038B12RIK,-0.428067929,0.140110612,0.433818448,70.69924,27.07363
GM20522,-0.949690244,0.386878035,0.69841455,6.049682,10.753496
ZFP963,0.195752301,0.770121849,0.914508744,12.856558,8.370863
NEAT1,0.918276139,0.00089185,0.016031725,235.3844,150.3755
MALAT1,0.600869301,0.007383369,0.073482542,7566.531,7329.55
ZFP141,0.412149001,0.34303428,0.664718752,71.43785,18.17659
GPANK1,-0.152401124,0.596347911,0.831378886,22.34003,20.40153
MED20,-0.135495947,0.657934421,0.862801967,35.06339,31.466
BC051226,-0.375630391,0.178951776,0.487193176,24.498,18.44122
SERPINB10,-0.741112772,0.612477171,0.84037815,7.940342,6.314514
SCNM1,-0.281533769,0.312182992,0.635658081,53.0919,58.3586
KHDC3,1.768946096,0.050308759,0.247529641,11.014962,2.087429
RPPH1,-0.409505194,0.279626332,0.602713309,83.85697,94.7285
LRCH4,-0.610057049,0.013121154,0.107054672,39.11003,41.43487
AA465934,0.469711933,0.29559141,0.618382961,15.69017,10.91911
RAB26OS,-0.01167567,0.981881807,0.994791905,9.996071,11.545243
B130034C11RIK,-0.507119162,0.183238685,0.491949336,19.47054,24.14496
EIF4E3,-0.080037798,0.587502362,0.82653648,124.80917,93.06188
POU5F2,0.51816114,0.329502157,0.652709422,21.8894,15.34726
RPL41,-0.134169432,0.453141419,0.746885852,3235.937,6468.898
H3C14,1.369706207,0.117341599,0.397322106,33.52328,10.88087
TRAV14N-2,0.011667638,0.990311057,0.997556976,4.123546,4.783489
PPP2R3D,0.466277292,0.204408953,0.521996222,35.09696,39.56389
TOMM20,-0.162993814,0.182236843,0.490929501,105.2506,191.4416
HMGCS1,-0.470135379,0.09548409,0.35490522,80.60175,102.3455
EVI2B,-0.350646515,0.410415554,0.715547175,31.70917,27.40076
TRAV3D-3,0.870489016,0.146689226,0.443980904,8.305604,9.347096
GM2237,0.409389385,0.70280047,0.885568932,9.387356,7.297656
RNASEK,-0.244610273,0.181082428,0.489419571,192.0295,154.9103
IGKV4-59,1.389261029,0.253178159,0.576219476,9.711193,4.023402
CCL21D,-0.020965598,0.992917627,0.99771269,32.24772,20.87712
GM4767,0.793178752,0.40795069,0.714061929,13.38159,7.635855
GM1604B,0.427531885,0.627539018,0.84789251,5.547291,3.313102
CCL19-PS3,0.546658943,0.660296162,0.864836624,14.336032,6.665967
TRAV6D-6,0.831745089,0.287877995,0.611160104,5.696516,2.509541
TRAV14-3,-0.236805107,0.823393838,0.935051723,9.247789,4.157666
GM24924,0.755291949,0.42668276,0.729559022,9.299396,9.008003
H2BC13,-4.521818557,0.000206828,0.005460883,0.9526557,13.1253047
ZBED6,1.01717418,1.41704E-06,8.06786E-05,229.20313,67.89074
ZFP955A,0.4216779,0.079572623,0.319863559,67.24532,24.34031
ZFP965,1.06234581,0.014407244,0.113708386,8.064087,5.618611
PURB,-0.130771732,0.30800256,0.631782533,116.5375,175.7209
TRBV12-2,-1.226418333,0.022989248,0.154217077,5.539449,8.697617
FSBP,-0.9040441,0.445449991,0.741248859,5.649882,8.599876
TRAV14D-3-DV8,0.839906565,0.331696307,0.654525495,11.26639,6.607719
GM3055,1.621636269,0.102205005,0.369338157,18.165267,3.674964
CCL21A,-0.036303149,0.913064059,0.968028438,748.5693,1473.8805
RNASET2B,-0.176009512,0.194209569,0.508229854,180.7408,117.1481
H2AC24,-3.260297211,1.34E-57,2.10E-53,748.4009,5826.6333
BC147527,-0.815914286,0.115000654,0.392707794,22.12444,28.00378
IGKV6-15,-0.142841683,0.852367731,0.945358186,14.88209,18.49388
TRAV3-3,1.290924921,0.015873847,0.12106031,18.667493,4.761755
ZFP131,-0.100621008,0.507243894,0.781454063,89.93417,104.62852
TRAV3N-3,0.870489016,0.146689226,0.443980904,8.305604,9.347096
LOC671917,0.834123255,0.466009498,0.754920922,8.020023,2.491847
GM2007,1.06234581,0.014407244,0.113708386,8.064087,5.618611
RBM4,-0.051810809,0.865398082,0.950177964,46.36575,22.28099
GM3604,0.420392253,0.630404771,0.848790654,13.961109,7.433952
RHOX4A2,-1.410681575,0.24721317,0.57000926,13.01965,17.73595
RPS19-PS2,0.501168875,0.46099249,0.751861264,5.302274,3.148894
RPL9-PS4,0.969127366,0.11574581,0.394392197,257.9375,356.951
IGKV12-41,-0.25690116,0.798513963,0.925560625,5.312448,5.799997
IGHA,0.483822216,0.119287729,0.400104535,231.7437,136.5423
TRAV11D,0.640953181,0.519459109,0.789015451,12.211998,5.769192
CCDC85B,0.165679651,0.597008201,0.832059588,62.51953,61.48272
EDARADD,0.265044307,0.352833623,0.671863322,40.76151,34.35926
ITPRIPL2,0.909055117,0.003466365,0.0430853,44.68452,25.60214
TRAV6-7-DV9,1.637937345,0.003244783,0.041191448,21.722421,7.460725
GM20939,2.085073355,0.018760817,0.135363188,35.394788,4.875703
ZFP967,0.145461502,0.808187631,0.92960577,28.76766,31.16673
H2BC15,-3.035234421,1.53417E-05,0.000632117,6.493921,25.263117
ZFP799,0.157192521,0.695931082,0.882196485,30.30657,16.11485
PLAC9,0.775036354,0.031918162,0.189692709,358.074,360.3274
GM10130,0.779565622,0.179203388,0.487391076,28.44175,10.99563
ZFP870,-0.459803954,0.669142239,0.868863828,15.65341,7.168167
GM14325,0.10075343,0.897452268,0.963147001,15.83304,9.902102
TRAV6N-7,-0.444619013,0.600722914,0.833674761,6.103982,8.438475
D630033O11RIK,1.62611002,0.559580281,0.813042729,16.743633,4.786823
GM21092,0.397456027,0.536703686,0.799623767,20.585,20.46211
ZFP748,0.297635005,0.472601848,0.760058463,68.33362,30.61965
ENTPD4,0.82234734,0.02689097,0.169770934,59.61294,14.54459
GM4724,0.279398223,0.481133074,0.765302338,19.87201,38.4262
TRAV14D-2,0.011667638,0.990311057,0.997556976,4.123546,4.783489
ERDR1,0.114954213,0.719353612,0.893811563,97.86188,134.64372
NOC2L,-0.410529639,0.229978838,0.550241239,49.74964,37.64262
TRBV12-1,-1.085333446,0.011748028,0.09985824,5.755072,10.060457
FAM177A,-0.307522932,0.04133031,0.220780847,38.90466,35.49032
RPS7-PS3,-0.344777225,0.0254751,0.164302229,401.588,651.5658
TRAV5-4,1.485117463,0.085100999,0.332699726,7.859606,4.010437
GM21188,0.277641015,0.579095233,0.8221703,21.46369,14.71425
CSTA2,-0.18493585,0.906890966,0.965691547,9.377121,8.781655
IGKV6-23,0.141153693,0.843446779,0.942930733,8.292496,10.735148
GM2004,-0.575729988,0.511750194,0.784525772,10.635423,9.782409
CCL21B,-0.053825443,0.977274341,0.993432247,27.10274,29.04548
DYNLT1F,-0.794378173,7.1707E-07,4.52708E-05,84.14723,121.26849
RNASET2A,-0.126464946,0.518354357,0.788255067,37.86417,36.72599
TRAV6D-7,-0.444619013,0.600722914,0.833674761,6.103982,8.438475
NUPR1L,0.610427974,0.518306415,0.788255067,15.928585,7.074708
TRAV14D-1,0.072493066,0.91834015,0.969944127,4.005904,4.215654
TRAV6-6,0.831745089,0.287877995,0.611160104,5.696516,2.509541
NIM1K,-0.465234582,0.072498842,0.304565166,68.01819,33.68154
ZFP97,0.799483727,0.091372276,0.346312207,47.2914,20.10164
H4F16,-0.531555659,0.484263325,0.767462411,22.00895,16.31748
SYNE1,0.396154097,0.082890101,0.327812658,87.1828,58.24184
TRAV4-4-DV10,0.680756334,0.590453758,0.828084422,15.29083,12.28264
VKORC1,0.476892128,0.06558279,0.288001858,86.41834,84.54198
TRAV6-5,0.76714985,0.434368896,0.735392928,7.110465,6.783894
CMTM4,0.07978377,0.857621171,0.947157781,25.17188,24.19712
PTRHD1,-0.385387717,0.108974849,0.382326388,42.02055,56.81649
H1F0,0.053215136,0.789813802,0.922293758,51.9234,41.81974
SMIM22,1.790673489,0.09054713,0.344435474,14.942672,3.090961
DYNLT1B,-0.617539334,0.000317555,0.007454217,184.7027,158.7357
IGKV1-135,0.180474628,0.832502802,0.938455834,5.481685,5.021368
GM21992,-0.39268589,0.208854769,0.527176138,56.72196,58.08516
GM21811,-0.481307616,0.385898396,0.697830539,15.45659,14.72429
IGKV12-44,-0.570476517,0.453083335,0.746885852,11.30174,17.73859
ZFP994,0.047604325,0.896064716,0.963016282,21.12123,17.87752
CDKN2D,-0.710402366,0.000125477,0.003713796,151.2551,193.6141
GM10591,-0.053825443,0.977274341,0.993432247,27.10274,29.04548
TPBGL,-1.408908684,0.104115502,0.373114307,5.244146,6.929735
RPS19-PS1,0.501168875,0.46099249,0.751861264,5.302274,3.148894
MFSD4B4,0.719400981,0.243799829,0.565782095,9.972958,8.066187
ZFP960,0.609665565,0.573420292,0.818836873,20.842057,9.991252
IGKV3-4,-1.720554396,0.074011205,0.308150996,4.832463,32.201467
PSMB9,-0.46419466,0.017109546,0.127381911,109.3631,105.0359
LBHD1,0.140493056,0.642326513,0.854613534,68.62057,37.62401
ERDR1,-0.388622638,0.363437739,0.680753158,370.4114,595.4368
ZFP433,-0.045319019,0.892250007,0.961114375,43.67785,26.66539
CCL27B,-0.641978176,0.590374374,0.828047261,4.095978,5.949306
TRAV14N-1,0.072493066,0.91834015,0.969944127,4.005904,4.215654
IGKV4-55,-1.182147203,0.201925656,0.518535807,5.105595,6.211002
TMEM151B,-1.538211828,1.1127E-05,0.00048528,19.65533,29.16112
GM10778,0.232280222,0.705612113,0.886943878,24.79797,11.90129
TRAV7-3,2.506932253,0.049550095,0.245668565,12.350762,1.761129
ZFP955B,-0.130420815,0.693606674,0.880778266,70.40631,95.02026
ZFP850,-0.564272825,0.409641555,0.715220031,10.76105,16.60935
2500002B13RIK,0.403232395,0.579997975,0.82255691,7.434903,4.837925
A330023F24RIK,3.561858437,9.94689E-05,0.003059695,33.056711,1.746807
1700113A16RIK,-0.740124848,0.426558929,0.729506625,5.286382,7.45091
RPS19-PS6,0.069880323,0.800617629,0.926156327,8.477195,9.893842
SNHG18,0.648059784,0.268592312,0.592089358,45.20547,21.79439
4930556M19RIK,0.918086041,0.32501083,0.648156309,10.315847,9.528082
GM26787,1.264309634,0.222194788,0.540984817,18.181468,7.863735
9530082P21RIK,1.246244361,0.111595394,0.386771877,21.736242,7.697337
4933433G15RIK,2.006144998,0.188801066,0.499682239,12.713693,2.390449
